(env) giovannimaffeo@DESKTOP-0BEFLPP:~/UC/ce/project$ python evolve_structure.py 
Using Evolution Gym Simulator v2.2.5
Iteration 1: Fitness = 0.04253553886367606
Iteration 2: Fitness = 0.15882387123812697
Iteration 3: Fitness = 0.15882387123812697
Iteration 4: Fitness = 0.15882387123812697
Iteration 5: Fitness = 0.27815320605299204
Iteration 6: Fitness = 0.7090415923414719
Iteration 7: Fitness = 0.7090415923414719
Iteration 8: Fitness = 0.7090415923414719
Iteration 9: Fitness = 0.7337353441707483
Iteration 10: Fitness = 1.0290565498418045
Iteration 11: Fitness = 1.0290565498418045
Iteration 12: Fitness = 1.0290565498418045
Iteration 13: Fitness = 1.0290565498418045
Iteration 14: Fitness = 1.0290565498418045
Iteration 15: Fitness = 1.0290565498418045
Iteration 16: Fitness = 1.0290565498418045
Iteration 17: Fitness = 1.1123801839579812
Iteration 18: Fitness = 1.1123801839579812
Iteration 19: Fitness = 1.1123801839579812
Iteration 20: Fitness = 1.2662364786725369
Iteration 21: Fitness = 1.3727640696088623
Iteration 22: Fitness = 1.3727640696088623
Iteration 23: Fitness = 1.5450113586455074
Iteration 24: Fitness = 1.5450113586455074
Iteration 25: Fitness = 1.7036851224332392
Iteration 26: Fitness = 1.7036851224332392
Iteration 27: Fitness = 1.7036851224332392
Iteration 28: Fitness = 1.7397846803160453
Iteration 29: Fitness = 1.8957517385380644
Iteration 30: Fitness = 1.8957517385380644
Iteration 31: Fitness = 1.8957517385380644
Iteration 32: Fitness = 2.3022308094973
Iteration 33: Fitness = 2.3022308094973
Iteration 34: Fitness = 2.3022308094973
Iteration 35: Fitness = 2.3022308094973
Iteration 36: Fitness = 2.3022308094973
Iteration 37: Fitness = 2.3022308094973
Iteration 38: Fitness = 2.3022308094973
Iteration 39: Fitness = 2.3022308094973
Iteration 40: Fitness = 2.3022308094973
Iteration 41: Fitness = 2.3894664383460373
Iteration 42: Fitness = 2.5243947157267077
Iteration 43: Fitness = 2.5243947157267077
Iteration 44: Fitness = 2.5243947157267077
Iteration 45: Fitness = 2.5243947157267077
Iteration 46: Fitness = 2.5243947157267077
Iteration 47: Fitness = 2.5243947157267077
Iteration 48: Fitness = 2.5243947157267077
Iteration 49: Fitness = 2.5243947157267077
Iteration 50: Fitness = 2.5243947157267077
Iteration 51: Fitness = 2.7544532289656964
Iteration 52: Fitness = 2.7544532289656964
Iteration 53: Fitness = 2.7544532289656964
Iteration 54: Fitness = 2.7544532289656964
Iteration 55: Fitness = 2.7544532289656964
Iteration 56: Fitness = 2.7544532289656964
Iteration 57: Fitness = 2.7544532289656964
Iteration 58: Fitness = 2.7544532289656964
Iteration 59: Fitness = 2.7544532289656964
Iteration 60: Fitness = 2.7544532289656964
Iteration 61: Fitness = 2.8360626625741006
Iteration 62: Fitness = 2.984799460104804
Iteration 63: Fitness = 2.984799460104804
Iteration 64: Fitness = 2.984799460104804
Iteration 65: Fitness = 2.984799460104804
Iteration 66: Fitness = 2.984799460104804
Iteration 67: Fitness = 2.984799460104804
Iteration 68: Fitness = 2.984799460104804
Iteration 69: Fitness = 2.984799460104804
Iteration 70: Fitness = 2.984799460104804
Iteration 71: Fitness = 2.984799460104804
Iteration 72: Fitness = 2.984799460104804
Iteration 73: Fitness = 2.984799460104804
Iteration 74: Fitness = 2.984799460104804
Iteration 75: Fitness = 2.984799460104804
Iteration 76: Fitness = 2.984799460104804
Iteration 77: Fitness = 2.984799460104804
Iteration 78: Fitness = 2.984799460104804
Iteration 79: Fitness = 2.984799460104804
Iteration 80: Fitness = 2.984799460104804
Iteration 81: Fitness = 2.984799460104804
Iteration 82: Fitness = 2.984799460104804
Iteration 83: Fitness = 2.984799460104804
Iteration 84: Fitness = 2.984799460104804
Iteration 85: Fitness = 2.984799460104804
Iteration 86: Fitness = 2.984799460104804
Iteration 87: Fitness = 3.054485447516123
Iteration 88: Fitness = 3.054485447516123
Iteration 89: Fitness = 3.054485447516123
Iteration 90: Fitness = 3.0908285707951153
Iteration 91: Fitness = 3.2036662493283643
Iteration 92: Fitness = 3.2036662493283643
Iteration 93: Fitness = 3.2036662493283643
Iteration 94: Fitness = 3.2036662493283643
Iteration 95: Fitness = 3.2036662493283643
Iteration 96: Fitness = 3.2036662493283643
Iteration 97: Fitness = 3.2036662493283643
Iteration 98: Fitness = 3.2036662493283643
Iteration 99: Fitness = 3.3459926591804408
Iteration 100: Fitness = 3.3459926591804408
Iteration 101: Fitness = 3.3459926591804408
Iteration 102: Fitness = 3.3459926591804408
Iteration 103: Fitness = 3.3459926591804408
Iteration 104: Fitness = 3.3459926591804408
Iteration 105: Fitness = 3.3459926591804408
Iteration 106: Fitness = 3.3459926591804408
Iteration 107: Fitness = 3.3459926591804408
Iteration 108: Fitness = 3.481414508727985
Iteration 109: Fitness = 3.481414508727985
Iteration 110: Fitness = 3.481414508727985
Iteration 111: Fitness = 3.481414508727985
Iteration 112: Fitness = 3.481414508727985
Iteration 113: Fitness = 3.481414508727985
Iteration 114: Fitness = 3.481414508727985
Iteration 115: Fitness = 3.481414508727985
Iteration 116: Fitness = 3.481414508727985
Iteration 117: Fitness = 3.481414508727985
Iteration 118: Fitness = 3.481414508727985
Iteration 119: Fitness = 3.481414508727985
Iteration 120: Fitness = 3.481414508727985
Iteration 121: Fitness = 3.481414508727985
Iteration 122: Fitness = 3.481414508727985
Iteration 123: Fitness = 3.481414508727985
Iteration 124: Fitness = 3.481414508727985
Iteration 125: Fitness = 3.481414508727985
Iteration 126: Fitness = 3.481414508727985
Iteration 127: Fitness = 3.481414508727985
Iteration 128: Fitness = 3.481414508727985
Iteration 129: Fitness = 3.481414508727985
Iteration 130: Fitness = 3.481414508727985
Iteration 131: Fitness = 3.481414508727985
Iteration 132: Fitness = 3.481414508727985
Iteration 133: Fitness = 3.481414508727985
Iteration 134: Fitness = 3.481414508727985
Iteration 135: Fitness = 3.481414508727985
Iteration 136: Fitness = 3.481414508727985
Iteration 137: Fitness = 3.481414508727985
Iteration 138: Fitness = 3.481414508727985
Iteration 139: Fitness = 3.481414508727985
Iteration 140: Fitness = 3.481414508727985
Iteration 141: Fitness = 3.481414508727985
Iteration 142: Fitness = 3.481414508727985
Iteration 143: Fitness = 3.481414508727985
Iteration 144: Fitness = 3.481414508727985
Iteration 145: Fitness = 3.481414508727985
Iteration 146: Fitness = 3.481414508727985
Iteration 147: Fitness = 3.481414508727985
Iteration 148: Fitness = 3.481414508727985
Iteration 149: Fitness = 3.481414508727985
Iteration 150: Fitness = 3.481414508727985
Iteration 151: Fitness = 3.481414508727985
Iteration 152: Fitness = 3.481414508727985
Iteration 153: Fitness = 3.481414508727985
Iteration 154: Fitness = 3.481414508727985
Iteration 155: Fitness = 3.481414508727985
Iteration 156: Fitness = 3.481414508727985
Iteration 157: Fitness = 3.481414508727985
Iteration 158: Fitness = 3.481414508727985
Iteration 159: Fitness = 3.481414508727985
Iteration 160: Fitness = 3.481414508727985
Iteration 161: Fitness = 3.481414508727985
Iteration 162: Fitness = 3.481414508727985
Iteration 163: Fitness = 3.481414508727985
Iteration 164: Fitness = 3.481414508727985
Iteration 165: Fitness = 3.481414508727985
Iteration 166: Fitness = 3.481414508727985
Iteration 167: Fitness = 3.481414508727985
Iteration 168: Fitness = 3.481414508727985
Iteration 169: Fitness = 3.481414508727985
Iteration 170: Fitness = 3.481414508727985
Iteration 171: Fitness = 3.481414508727985
Iteration 172: Fitness = 3.481414508727985
Iteration 173: Fitness = 3.481414508727985
Iteration 174: Fitness = 3.481414508727985
Iteration 175: Fitness = 3.502405618431966
Iteration 176: Fitness = 3.502405618431966
Iteration 177: Fitness = 3.502405618431966
Iteration 178: Fitness = 3.502405618431966
Iteration 179: Fitness = 3.502405618431966
Iteration 180: Fitness = 3.502405618431966
Iteration 181: Fitness = 3.502405618431966
Iteration 182: Fitness = 3.502405618431966
Iteration 183: Fitness = 3.502405618431966
Iteration 184: Fitness = 3.502405618431966
Iteration 185: Fitness = 3.502405618431966
Iteration 186: Fitness = 3.502405618431966
Iteration 187: Fitness = 3.502405618431966
Iteration 188: Fitness = 3.502405618431966
Iteration 189: Fitness = 3.502405618431966
Iteration 190: Fitness = 3.502405618431966
Iteration 191: Fitness = 3.502405618431966
Iteration 192: Fitness = 3.502405618431966
Iteration 193: Fitness = 3.502405618431966
Iteration 194: Fitness = 3.502405618431966
Iteration 195: Fitness = 3.502405618431966
Iteration 196: Fitness = 3.502405618431966
Iteration 197: Fitness = 3.502405618431966
Iteration 198: Fitness = 3.69663248343987
Iteration 199: Fitness = 3.69663248343987
Iteration 200: Fitness = 3.69663248343987
Iteration 201: Fitness = 3.761684347712571
Iteration 202: Fitness = 3.761684347712571
Iteration 203: Fitness = 3.761684347712571
Iteration 204: Fitness = 3.761684347712571
Iteration 205: Fitness = 3.761684347712571
Iteration 206: Fitness = 3.761684347712571
Iteration 207: Fitness = 3.761684347712571
Iteration 208: Fitness = 3.761684347712571
Iteration 209: Fitness = 3.761684347712571
Iteration 210: Fitness = 3.761684347712571
Iteration 211: Fitness = 3.761684347712571
Iteration 212: Fitness = 3.761684347712571
Iteration 213: Fitness = 3.761684347712571
Iteration 214: Fitness = 3.761684347712571
Iteration 215: Fitness = 3.761684347712571
Iteration 216: Fitness = 3.761684347712571
Iteration 217: Fitness = 3.761684347712571
Iteration 218: Fitness = 3.92851766484405
Iteration 219: Fitness = 3.92851766484405
Iteration 220: Fitness = 3.92851766484405
Iteration 221: Fitness = 3.92851766484405
Iteration 222: Fitness = 3.92851766484405
Iteration 223: Fitness = 3.92851766484405
Iteration 224: Fitness = 3.92851766484405
Iteration 225: Fitness = 3.92851766484405
Iteration 226: Fitness = 3.92851766484405
Iteration 227: Fitness = 3.92851766484405
Iteration 228: Fitness = 3.92851766484405
Iteration 229: Fitness = 3.92851766484405
Iteration 230: Fitness = 3.92851766484405
Iteration 231: Fitness = 3.92851766484405
Iteration 232: Fitness = 3.92851766484405
Iteration 233: Fitness = 3.92851766484405
Iteration 234: Fitness = 3.92851766484405
Iteration 235: Fitness = 3.92851766484405
Iteration 236: Fitness = 3.92851766484405
Iteration 237: Fitness = 3.92851766484405
Iteration 238: Fitness = 3.92851766484405
Iteration 239: Fitness = 3.92851766484405
Iteration 240: Fitness = 3.92851766484405
Iteration 241: Fitness = 3.92851766484405
Iteration 242: Fitness = 3.92851766484405
Iteration 243: Fitness = 3.92851766484405
Iteration 244: Fitness = 3.92851766484405
Iteration 245: Fitness = 3.92851766484405
Iteration 246: Fitness = 3.92851766484405
Iteration 247: Fitness = 3.92851766484405
Iteration 248: Fitness = 3.92851766484405
Iteration 249: Fitness = 3.92851766484405
